ID;Название;Категория;Статус;Автор;Дата
1;Новости технологий;Технологии;PUBLISHED;ivan_petrov;2026-09-25T16:15:58.806188
2;Обзор нового смартфона;Технологии;DRAFT;ivan_petrov;2026-09-25T16:15:58.806188
3;Выборы в парламент;Политика;PUBLISHED;olga_smirnova;2026-09-25T16:15:58.806188
4;Экономический прогноз;Экономика;PUBLISHED;olga_smirnova;2026-09-25T16:15:58.806188
5;Спортивный матч;Спорт;ARCHIVED;petr_ivanov;2026-09-25T16:15:58.806188
6;Премьера нового фильма;Культура;PUBLISHED;anna_k;2026-09-25T16:15:58.806188
7;Курс валют на неделю;Экономика;DRAFT;anna_k;2026-09-25T16:15:58.806188
8;Погода на неделю;Общество;PUBLISHED;sergey_m;2026-09-25T16:15:58.806188
9;Научное открытие;Наука;PUBLISHED;ivan_petrov;2026-09-25T16:15:58.806188
10;Интервью с режиссёром;Культура;DRAFT;petr_ivanov;2026-09-25T16:15:58.806188
11;Рынок акций;Экономика;PUBLISHED;olga_smirnova;2026-09-25T16:15:58.806188
12;Проверка создания статьи;Новости;DRAFT;ivan_petrov;2026-09-25T16:40:08.146448
